[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407636')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('49','2025-03-24','2407304')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('244','2025-03-24','2407609')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('244','2025-03-24','2407611')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('283','2025-03-24','2407612')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('244','2025-03-24','2407610')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('284','2025-03-24','2407613')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('565','2025-03-24','2407614')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('740','2025-03-24','2407615')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('560','2025-03-24','2407607')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('600','2025-03-24','2407608')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407245')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407243')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407244')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407241')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407242')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407240')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407237')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407238')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407239')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407236')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('2','2025-03-24','2407246')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407248')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407247')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407253')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407257')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('2','2025-03-24','2407251')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('2','2025-03-24','2407250')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('3','2025-03-24','2407249')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407256')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407255')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407252')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407254')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407259')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('1','2025-03-24','2407258')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('219','2025-03-24','2407264')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('12','2025-03-24','2407064')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('0','2025-03-24','2407203')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('11','2025-03-24','2407204')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('35','2025-03-24','2407270')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('39','2025-03-24','2407271')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('47','2025-03-24','2407272')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('37','2025-03-24','2407273')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('34','2025-03-24','2407274')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('51','2025-03-24','2407275')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('44','2025-03-24','2407276')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('46','2025-03-24','2407277')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('50','2025-03-24','2407278')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('35','2025-03-24','2407279')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('20','2025-03-24','2407280')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('22','2025-03-24','2407281')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('24','2025-03-24','2407282')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('12','2025-03-24','2407283')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('22','2025-03-24','2407284')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('21','2025-03-24','2407285')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('25','2025-03-24','2407286')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('12','2025-03-24','2407287')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('9','2025-03-24','2407289')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('12','2025-03-24','2407290')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('16','2025-03-24','2407291')
[2025-05-05 12:43:12] Consulta ejecutada: INSERT INTO existencias (cantidadExistencia, fechaExistencia, fkCodigoArticulo) VALUES ('26','2025-03-24','2407292')
